date,date_epoch,close,daily_return,volume,eps_norm,hype_volume,sentiment,bubble_score,position,trade,bubble_confidence
2018-12-31,17896,21.35841178894043,-0.001,2115700.0,-0.9752740578275273,0.3826866100014311,-0.16363055034640397,-1.2922438499324502,-1.0,1,0.0
2019-01-02,17898,21.576934814453125,-0.010231239460690933,1314800.0,-0.95677925090874,-0.3569174238575787,0.15306937183820726,-0.6610162426569728,-1.0,0,0.0
2019-01-03,17899,20.693336486816406,0.04095105886146755,2917500.0,-1.0,0.8080729670780205,-0.16228531765844026,-1.6143366722521462,-1.0,0,0.0
2019-01-04,17900,21.975980758666992,-0.06198344441302406,2712100.0,-0.9141193025326304,0.7127696822302896,0.1685950333239072,-1.362479570096661,-1.0,0,0.0
2019-01-07,17903,22.736066818237305,-0.035587128006587254,1273300.0,-0.8636468940891738,-0.4184597173429384,0.16037613840197618,-0.5226122504285241,0.0,1,0.0
2019-01-08,17904,22.907087326049805,0.0,1033800.0,-0.8490886279247775,-0.5708747551568626,0.15225659753526918,-0.40379932005439295,0.0,0,0.0
2019-01-09,17905,23.80968856811523,0.0,1022000.0,-0.7924017611511596,-0.5670252830254763,0.16182081199436024,-0.3469378194350181,0.0,0,0.0
2019-01-10,17906,24.29424285888672,0.0,1134400.0,-0.7607914561706218,-0.48333462732664423,0.15610534181560498,-0.3756256144972894,0.0,0,0.0
2019-01-11,17907,24.712289810180664,0.0,1488300.0,-0.7333964958311365,-0.20320927229444793,0.15516229652089394,-0.5446013162687547,0.0,0,0.0
2019-01-14,17910,24.740795135498047,0.0,751300.0,-0.7275741729162267,-0.689530905823171,0.15034604634620674,-0.19979872493614503,0.0,0,0.0
2019-01-15,17911,24.427257537841797,-0.0,1009000.0,-0.7406166063633025,-0.5363047308525725,-0.15380186969665804,-0.41134385567549925,0.0,0,2.4390243902439024
2019-01-16,17912,24.52226829528809,0.0,911300.0,-0.7311858923431651,-0.5911648909431488,0.1511668615353046,-0.27202041022236956,0.0,0,0.0
2019-01-17,17913,25.00682258605957,0.0,1276900.0,-0.7005704544201258,-0.3357924212070852,0.1559279298913541,-0.41873738060775995,0.0,0,2.4390243902439024
2019-01-18,17914,25.652896881103516,0.0,1094600.0,-0.6619608068963797,-0.4737597395968434,0.15775077632698656,-0.28300375628049335,0.0,0,7.317073170731707
2019-01-22,17918,24.085220336914062,-0.001,2323900.0,-0.7432733245020698,0.5054756322601198,-0.16833332763300005,-1.1476062653740535,-1.0,1,14.634146341463413
2019-01-23,17919,23.11610984802246,0.04023672921963273,2269800.0,-0.7948727509152403,0.4647244635903512,-0.1620710187658898,-1.168801181058253,-1.0,0,12.195121951219512
2019-01-24,17920,23.866695404052734,-0.033470236599714265,1261900.0,-0.7476870236513786,-0.34743381068509516,0.15974107097991427,-0.4565610348778378,0.0,1,9.75609756097561
2019-01-25,17921,24.921314239501953,0.0,1495300.0,-0.6852796412014547,-0.14936753015900975,0.16325636604810573,-0.5317454602757161,0.0,0,21.951219512195124
2019-01-28,17924,24.873807907104492,-0.0,783500.0,-0.684033964719663,-0.6474928992349226,-0.1505718759284632,-0.2759604980337562,0.0,0,17.073170731707318
2019-01-29,17925,24.731292724609375,-0.0,747500.0,-0.68803909524444,-0.653818868362543,-0.15171885844371757,-0.27588154492377515,0.0,0,7.317073170731707
2019-01-30,17926,25.415369033813477,0.0,606800.0,-0.6473949478384807,-0.703546338977272,0.15829810617044776,-0.10742307870325599,0.0,0,12.195121951219512
2019-01-31,17927,25.31085777282715,-0.001,1860200.0,-0.649317420874426,0.1997741798244464,-0.15123363852219437,-0.8345294383081968,-1.0,1,7.317073170731707
2019-02-01,17928,25.2823543548584,0.00012613401823746793,633400.0,-0.6472489255695358,-0.6810056041401161,-0.15033784020547122,-0.21564635473309593,0.0,1,7.317073170731707
2019-02-04,17931,25.07332992553711,-0.0,897200.0,-0.6549549713702947,-0.5350160451187245,-0.1524802804325989,-0.3261878239169672,0.0,0,9.75609756097561
2019-02-05,17932,25.348861694335938,0.0,1221000.0,-0.6366963978045359,-0.30450739111093367,0.15329671132175623,-0.37755221063035543,0.0,0,12.195121951219512
2019-02-06,17933,25.215848922729492,-0.0,736300.0,-0.7847817986033285,-0.6384310950669175,-0.15157418632690908,-0.38335228795455906,0.0,0,7.317073170731707
