date_epoch,equity
19038,0.999
19039,1.0090173753023048
19040,1.052685652332429
19041,1.1134760057584592
19045,1.1953659980567344
19046,1.1492382616297376
19047,0.9174386606730504
19048,0.8874517164497471
19051,0.801667235941141
19052,0.8254296110310686
19053,0.7650484508529598
19054,0.8011518664198402
19055,0.8225663122618642
19058,0.8185797582245716
19059,0.6488099378336184
19060,0.6591771049832137
19061,0.6707728812095624
19062,0.7077300723934304
19065,0.8176036223826347
19066,0.8747441977485629
19067,0.8771785291957424
19068,0.8192439441547485
19069,0.8471239981182649
19072,0.8807946588210773
19073,0.8501367171977164
19074,0.8362253655125598
19075,0.8332335066746355
19076,0.7745655545514988
19079,0.7997179963869797
19080,0.7907710573099862
19081,0.7476992489552553
19082,0.730802107369375
19083,0.7867514550430065
19086,0.7134557952117536
19087,0.7346530809535531
19088,0.7701721328165703
19089,0.7395218059133388
19090,0.7545772175988896
19093,0.7144334362982777
19094,0.7020281051369928
19095,0.6702821829257243
19096,0.6702821829257243
19100,0.6702821829257243
19101,0.6702821829257243
19102,0.6702821829257243
19103,0.6702821829257243
19104,0.6702821829257243
19107,0.6702821829257243
19108,0.6702821829257243
19109,0.6702821829257243
19110,0.6702821829257243
19111,0.6702821829257243
19114,0.6702821829257243
19115,0.6702821829257243
19116,0.6702821829257243
19117,0.6702821829257243
19118,0.6702821829257243
19121,0.6702821829257243
19122,0.6702821829257243
19123,0.6702821829257243
19124,0.6702821829257243
19125,0.6702821829257243
19128,0.6702821829257243
19129,0.6702821829257243
19130,0.6702821829257243
19131,0.6702821829257243
19132,0.6702821829257243
19135,0.6702821829257243
19136,0.6702821829257243
19137,0.6702821829257243
19138,0.6702821829257243
19139,0.6702821829257243
19143,0.6702821829257243
19144,0.6702821829257243
19145,0.6702821829257243
19146,0.6702821829257243
19149,0.6702821829257243
19150,0.6702821829257243
19151,0.6702821829257243
19152,0.6702821829257243
19153,0.6696119007427985
19156,0.7612140766640457
19157,0.8106748782663245
19158,0.8147969826800929
19159,0.8800362362362213
19160,0.8686284090356926
19164,0.7797011161273449
19165,0.7848733193789453
19166,0.7757011542389949
19167,0.7705810194416539
19170,0.7705810194416539
19171,0.8425860936688699
19172,0.9004853341521887
19173,0.9424497418171631
19174,0.9578053242581488
19178,0.9657374520093137
19179,1.0242058917740602
19180,0.9035771501013491
19181,0.8622604993878107
19184,0.9032424605031958
19185,0.8906223619604834
19186,0.8520520547959528
19187,0.8954584756005164
19188,0.847392121475685
19191,0.8665784154397049
19192,0.8264280213334247
19193,0.7745856505952303
19194,0.8001362256103652
19195,0.8791443159401564
19198,0.7985852680505731
19199,0.8262734516449005
19200,0.7559855691643105
19201,0.6703774312466534
19202,0.5696634448591066
19205,0.558037652727824
19206,0.5334840016844523
19207,0.5300773219784333
19208,0.5112421054235441
19209,0.3846845923972248
19212,0.3491636351680325
19213,0.37864409295603735
19214,0.39093047652042917
19215,0.39688750667204936
19216,0.4039615066071237
19219,0.3894412189825241
19220,0.39093047652042917
19221,0.3633791943158356
19222,0.37641018889582967
19223,0.3354555888500907
19226,0.3116274327369095
19227,0.31125510947575813
19228,0.3462527148765774
19229,0.36896390120630446
19230,0.35332667930495126
19233,0.3440188108163696
19234,0.3187014326719838
19235,0.3395510382026545
19236,0.3119997559980609
19237,0.3131166902748146
19241,0.3097658519378531
19242,0.3213076244866426
19243,0.3414126190017108
19244,0.3484865834300847
19247,0.3488589066912361
19248,0.3134890135359659
19249,0.3172121751340788
19250,0.31125510947575813
19251,0.2892885519149836
19254,0.2982241148957641
19255,0.28407615053231594
19256,0.2770021683505918
19257,0.2572694793433246
19258,0.2408876286730189
19261,0.2293458738775797
19262,0.23790911359720884
19263,0.2509401259305531
19264,0.23009050264653222
19265,0.22785661633967463
19268,0.2360475505515026
19269,0.2598756889113335
19270,0.24796161085474291
19271,0.25056782042275183
19272,0.2341859697524461
19275,0.23157976018443716
19276,0.23828143685836012
19277,0.23641985605930368
19278,0.23269671221454108
19279,0.21854874785109293
19282,0.23865374236616127
19283,0.26322652724829493
19284,0.2833315217633633
19285,0.27030050943001904
19286,0.2710451381989716
19289,0.2568971738355234
19290,0.26806660536981125
19291,0.2755129108126867
19292,0.2639711560172475
19293,0.26843892863096264
19296,0.27551291081268675
19297,0.26881123413876384
19298,0.256152545066571
19299,0.26024799441913476
19300,0.25466328752866596
19303,0.25168477245285586
19304,0.23679217932045518
19305,0.20961320262366276
19306,0.2472169820857905
19307,0.2472169820857905
19310,0.22301652046480816
19311,0.2338136642446451
19312,0.2178041190821405
19313,0.20365615471869236
19314,0.20030533413508111
19317,0.20067763964288224
19318,0.19546523826021459
19319,0.19769912456707217
19321,0.1965821902903185
19324,0.17833875882095634
19325,0.17945571085106027
19326,0.20514543000994764
19327,0.20940805719365285
19328,0.20940805719365285
19331,0.20940805719365285
19332,0.20940805719365285
19333,0.20940805719365285
19334,0.20940805719365285
19335,0.20940805719365285
19338,0.20940805719365285
19339,0.20940805719365285
19340,0.20940805719365285
19341,0.20940805719365285
19342,0.20940805719365285
19345,0.20940805719365285
19346,0.20940805719365285
19347,0.20940805719365285
19348,0.20940805719365285
19349,0.20940805719365285
19353,0.20940805719365285
19354,0.20940805719365285
19355,0.20940805719365285
19356,0.20940805719365285
19360,0.20940805719365285
19361,0.20940805719365285
19362,0.20940805719365285
19363,0.20940805719365285
19366,0.20940805719365285
19367,0.20940805719365285
19368,0.20940805719365285
19369,0.20940805719365285
19370,0.20940805719365285
19374,0.20940805719365285
19375,0.20940805719365285
19376,0.20940805719365285
19377,0.20940805719365285
19380,0.20940805719365285
19381,0.20940805719365285
19382,0.20940805719365285
19383,0.20940805719365285
19384,0.20940805719365285
19387,0.20940805719365285
19388,0.20940805719365285
19389,0.20940805719365285
19390,0.20940805719365285
19391,0.20940805719365285
19394,0.20940805719365285
19395,0.20940805719365285
19396,0.20940805719365285
19397,0.20940805719365285
19398,0.20940805719365285
19401,0.20940805719365285
19402,0.20940805719365285
19403,0.20940805719365285
19404,0.20940805719365285
19405,0.20940805719365285
19409,0.20940805719365285
19410,0.20940805719365285
19411,0.20940805719365285
19412,0.20940805719365285
19415,0.20940805719365285
19416,0.20940805719365285
19417,0.20940805719365285
19418,0.20940805719365285
19419,0.20940805719365285
19422,0.20940805719365285
19423,0.20940805719365285
19424,0.20940805719365285
19425,0.20940805719365285
19426,0.20940805719365285
19429,0.20940805719365285
19430,0.20940805719365285
19431,0.20940805719365285
19432,0.20940805719365285
19433,0.20940805719365285
19436,0.20940805719365285
19437,0.20940805719365285
19438,0.20940805719365285
19439,0.20940805719365285
19440,0.20940805719365285
19443,0.20940805719365285
19444,0.20940805719365285
19445,0.20940805719365285
19446,0.20940805719365285
19447,0.20940805719365285
19450,0.20940805719365285
19451,0.20940805719365285
19452,0.20940805719365285
19453,0.20940805719365285
19457,0.20940805719365285
19458,0.20940805719365285
19459,0.20940805719365285
19460,0.20940805719365285
19461,0.20940805719365285
19464,0.20940805719365285
19465,0.20940805719365285
19466,0.20940805719365285
19467,0.20940805719365285
19468,0.20940805719365285
19471,0.20940805719365285
19472,0.20940805719365285
19473,0.20940805719365285
19474,0.20940805719365285
19475,0.20940805719365285
19478,0.20940805719365285
19479,0.20940805719365285
19480,0.20940805719365285
19481,0.20940805719365285
19482,0.20940805719365285
19485,0.20940805719365285
19486,0.20940805719365285
19487,0.20940805719365285
19488,0.20940805719365285
19489,0.20940805719365285
19492,0.20940805719365285
19493,0.20940805719365285
19494,0.20940805719365285
19495,0.20940805719365285
19496,0.20940805719365285
19499,0.20940805719365285
19500,0.20940805719365285
19501,0.20940805719365285
19502,0.2091986491364592
19503,0.20623129525439135
19507,0.21612247486128422
19508,0.23590485765750233
19509,0.25717090560353817
19510,0.24332325415388817
19513,0.28486625566770296
19514,0.343718809702364
19515,0.28239344897476354
19516,0.29772478915666367
19517,0.3278929223313355
19520,0.3798216506411716
19521,0.34272969174167484
19522,0.33827867270978923
19523,0.339762337859607
19524,0.31750717195288186
19528,0.31404524729925315
19529,0.30959422826736754
19530,0.3006921430387316
19531,0.27744785917131715
19534,0.2833825669354529
19535,0.2908009634318387
19536,0.32146364379563896
19537,0.35014808823806065
19538,0.3625120745378929
19541,0.36053383861651433
19543,0.3486644230882429
19544,0.3456970456237427
19545,0.37487606083772523
19548,0.3911965189803146
19549,0.398120368287572
19550,0.4302667138011901
19551,0.40306593450858613
19552,0.35707191396288573
19555,0.3966367031377543
19556,0.40652788274464713
19557,0.36943590026271794
19558,0.38081076860186086
19559,0.3674576643413393
19562,0.37141415976652886
19563,0.36312977833881566
19564,0.36312977833881566
19565,0.36312977833881566
19566,0.36312977833881566
19569,0.36312977833881566
19570,0.36312977833881566
19571,0.36312977833881566
19572,0.36312977833881566
19573,0.36312977833881566
19576,0.36312977833881566
19577,0.36312977833881566
19578,0.36312977833881566
19579,0.36312977833881566
19580,0.36312977833881566
19583,0.36312977833881566
19584,0.36312977833881566
19585,0.36312977833881566
19586,0.36312977833881566
19587,0.36312977833881566
19590,0.36312977833881566
19591,0.36312977833881566
19592,0.36312977833881566
19593,0.36312977833881566
19594,0.36312977833881566
19597,0.36312977833881566
19598,0.36312977833881566
19599,0.36312977833881566
19600,0.36312977833881566
19601,0.36312977833881566
19605,0.36312977833881566
19606,0.36312977833881566
19607,0.36312977833881566
19608,0.36312977833881566
19611,0.36312977833881566
19612,0.36312977833881566
19613,0.36312977833881566
19614,0.36312977833881566
19615,0.36312977833881566
19618,0.36312977833881566
19619,0.36312977833881566
19620,0.36276664856047686
19621,0.4000319683664971
